年份,月份,交易類別,縣市,鄉鎮市區,交易標的,土地區段位置.建物區段門牌,土地移轉總面積.平方公尺.,使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積.平方公尺.,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱, 總價.元. ,單價.元.平方公尺.,車位類別,車位移轉總面積.平方公尺.,車位總價.元.,交易標的橫坐標,交易標的縱坐標,Longitude,Latitude
101,11,租賃,臺北市,士林區,建物,臺北市士林區忠誠路一段1~50號,0,住,NA,NA,10111,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880915,313.05,4,2,2,有,有,有,72000,230,,0,0,303146,2777463,121.52695,25.10448
101,12,租賃,臺北市,北投區,建物,臺北市北投區石牌路二段315巷1~50號,0,,NA,NA,10112,土地0建物1車位0,一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980622,122.57,4,2,1,有,有,有,67000,547,,0,0,302577,2779511,121.52139,25.12299
101,11,租賃,臺北市,北投區,建物,臺北市北投區義理街63巷4弄1~50號,0,住,NA,NA,10111,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780714,118.27,3,2,2,有,有,無,21000,178,,0,0,301928,2778927,121.51493,25.11774
101,12,租賃,臺北市,大安區,房地(土地+建物),臺北市大安區基隆路二段151~200號,3.24,住,NA,NA,10112,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980109,37.06,1,1,1,有,有,有,20000,540,,0,0,305820,2768642,121.55311,25.02475
101,12,租賃,臺北市,大安區,房地(土地+建物),臺北市大安區忠孝東路四段1~50號,6.83,商,NA,NA,10112,土地2建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,780302,90.32,3,1,1,有,無,有,38630,428,,0,0,304950,2770526,121.54456,25.04179
101,11,租賃,臺北市,大安區,建物,臺北市大安區大安路二段51~100號,0,住,NA,NA,10111,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,981113,46.8,1,1,1,有,有,有,28118,601,,0,0,305087,2769443,121.54587,25.03201
101,11,租賃,臺北市,大安區,建物,臺北市大安區信義路四段151~200號,5.52,,NA,NA,10111,土地0建物1車位0,八層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,850705,60.52,1,1,1,有,有,有,30000,496,,0,0,305703,2769509,121.55198,25.03258
101,11,租賃,臺北市,大安區,建物,臺北市大安區忠孝東路四段101~150號,0,其他,NA,NA,10111,土地0建物1車位0,一層,12,店面(店鋪),住家用,鋼筋混凝土造,581022,105.41,0,0,0,無,有,無,140000,1328,,0,0,305235,2770454,121.54738,25.04113
101,11,租賃,臺北市,松山區,建物,臺北市松山區南京東路四段101~150號,0,商,NA,NA,10111,土地0建物1車位0,二層,12,辦公商業大樓,商業用,鋼筋混凝土造,760119,131.77,2,2,1,有,有,無,37000,281,,0,0,305979,2771624,121.5548,25.05166
101,11,租賃,臺北市,松山區,建物,臺北市松山區八德路651~700號,10.48,,NA,NA,10111,土地0建物0車位0,四層,12,辦公商業大樓,商業用,鋼筋混凝土造,821230,111.63,1,1,1,無,有,無,31000,278,,0,0,308162,2771419,121.57643,25.04973
101,11,租賃,臺北市,信義區,建物,臺北市信義區基隆路一段101~150號,0,住,NA,NA,10111,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,950802,54.38,2,1,1,有,有,有,31000,570,,0,0,307215,2770748,121.56701,25.04371
101,11,租賃,臺北市,大安區,房地(土地+建物)+車位,臺北市大安區四維路76巷1~50號,31.2,住,NA,NA,10111,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840915,193.47,3,2,2,有,有,無,55000,284,坡道平面,57.41,0,305275,2769691,121.54775,25.03424
101,11,租賃,臺北市,信義區,建物,臺北市信義區信義路五段8巷1~50號,0,住,NA,NA,10111,土地0建物1車位0,一層,14,店面(店鋪),見使用執照,鋼筋混凝土造,871019,38.76,0,0,0,無,有,有,35000,903,,0,0,306577,2769472,121.56064,25.03221
101,10,租賃,臺北市,松山區,建物,臺北市松山區復興北路151~200號,0,商,NA,NA,10110,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,63.6,2,1,1,有,有,有,26500,417,,0,0,304934,2771903,121.54446,25.05422
101,10,租賃,臺北市,松山區,建物,臺北市松山區南京東路四段101~150號,0,商,NA,NA,10110,土地0建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,990831,159.51,3,2,2,有,有,有,50000,313,坡道機械,21.89,0,305969,2771575,121.5547,25.05122
101,11,租賃,臺北市,信義區,建物,臺北市信義區基隆路一段101巷1~50號,0,住,NA,NA,10111,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961106,132.75,3,2,2,有,有,有,76000,573,,0,0,307302,2770888,121.56788,25.04497
101,12,租賃,臺北市,信義區,建物,臺北市信義區忠孝東路五段524巷3弄1~50號,0,住,NA,NA,10112,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,NA,116.78,3,2,2,有,無,無,25000,214,,0,0,308568,2770446,121.58041,25.04093
