年份,月份,交易類別,縣市,鄉鎮市區,交易標的,土地區段位置.建物區段門牌,土地移轉總面積.平方公尺.,使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積.平方公尺.,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱, 總價.元. ,單價.元.平方公尺.,車位類別,車位移轉總面積.平方公尺.,車位總價.元.,交易標的橫坐標,交易標的縱坐標,Longitude,Latitude
101,8,租賃,臺北市,大安區,房地(土地+建物),臺北市大安區仁愛路四段301~350號,31.34,其他,NA,NA,10108,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,701223,211.59,4,2,2,有,有,有,"72,000",340,,0,0,306026,2770002,121.5552,25.03702
101,8,租賃,臺北市,大安區,房地(土地+建物),臺北市大安區金山南路二段185巷1~50號,27.8,住,NA,NA,10108,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,NA,97.18,3,2,2,有,無,無,"38,000",391,,0,0,303246,2768990,121.52761,25.02798
101,8,租賃,臺北市,松山區,房地(土地+建物),臺北市松山區健康路325巷6弄1~50號,30.48,住,NA,NA,10108,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,751020,94.38,3,2,2,有,無,有,"23,000",244,,0,0,307309,2771965,121.568,25.05469
101,8,租賃,臺北市,松山區,房地(土地+建物),臺北市松山區敦化北路155巷1~50號,26.94,住,NA,NA,10108,土地1建物2車位0,地下一層,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,840422,459.04,0,1,2,有,有,無,"77,778",169,,0,0,305568,2771867,121.55074,25.05387
101,7,租賃,臺北市,中山區,房地(土地+建物),臺北市中山區農安街201~250號,1045,住,NA,NA,10107,土地1建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,750331,63.17,2,1,1,有,有,有,"22,000",348,,0,0,304127,2773025,121.5365,25.06438
101,8,租賃,臺北市,中山區,房地(土地+建物)+車位,臺北市中山區長安東路一段1~50號,30.01,商,NA,NA,10108,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960904,195.41,3,2,2,有,有,有,"72,000",368,坡道平面,0,0,302941,2771296,121.52468,25.04881
101,8,租賃,臺北市,中山區,房地(土地+建物),臺北市中山區建國北路一段1~50號,12.5,商,NA,NA,10108,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960913,129.04,2,1,2,有,有,有,"63,000",488,,0,0,304195,2771226,121.53711,25.04813
101,8,租賃,臺北市,大安區,房地(土地+建物)+車位,臺北市大安區臥龍街301~350號,25.69,住,NA,NA,10108,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990513,228.4,2,2,1,有,有,有,"50,000",219,坡道平面,0,0,306531,2767701,121.56011,25.01623
101,8,租賃,臺北市,信義區,房地(土地+建物),臺北市信義區吳興街600巷76弄51~100號,12.46,住,NA,NA,10108,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830310,68.1,2,1,1,有,無,有,"16,000",235,,0,0,307551,2767975,121.57023,25.01866
101,8,租賃,臺北市,松山區,建物,臺北市松山區民生東路五段151~200號,2.67,商,NA,NA,10108,土地0建物1車位0,七層,20,套房(1房1廳1衛),商業用,鋼筋混凝土造,780629,38.21,1,0,1,有,無,無,"13,000",340,,0,0,306969,2772369,121.56464,25.05835
101,8,租賃,臺北市,內湖區,建物,臺北市內湖區文德路201~250號,0,,NA,NA,10108,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,871126,132.23,3,2,1,有,無,無,"30,000",227,,0,0,308935,2774569,121.58422,25.07814
101,8,租賃,臺北市,中山區,建物,臺北市中山區大直街57巷1~50號,0,,NA,NA,10108,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,650820,92.56,3,1,1,有,無,無,"24,000",259,,0,0,305277,2775125,121.54799,25.08329
